"comment","like_count","panjang"
"allah subahanahu wata'ala menyayangi muslim yg ter'aniaya tapi tetap pilih lurus benar .walau muslim yg miskin tapi tidak keperdukunan & tidak memdirikan ajaran jin (yg disebut ilmu2 ) & tidak memuja jin (pesugihan) agar cepat kaya raya .tidak melakukan pembunuhan juga tidak perusakan & tidak meng aborsi dikarenakan dalam islam manusia di jadikan penghuni dunia bukan untuk dijadikan pembunuh juga bukan agar dijadikan caci maki juga tidak agar sombong.","0","455"
"senang hati mendengar ustazah membaca ayat suci (al quran)","5","58"
"masyaallah tabarakallah terima kasih ustazah norhafizah musa diatas perkongsian ilmu semoga bermanfaat dunia dan akhirat aamiin","7","127"
"masyaallahhh semoga ustazah ini dpt ganjaran dunia dan akhirat","16","62"
"alhamdulillah terima kasih ustazah atas ilmu yang bermanfaat terkesan sunngguh di hati sanubari membuat kita sedar bertapa sayang nya allah pada kita. muhasabah diri dosa apa yang kita buat sehingga susah betul untuk bangun malam solat meminta dengan allah. semoga allah merahmati ustazah dan kami semua terus istiqomah mengaji tentang agama islam yang hebat ini. aamiin2 yra","2","375"
"moga ustazah direzekikan dengan kesihatan yang baik supaya dapat berterusan sebarkan kebaikan dan dakwah untuk kami","1","115"
"allah rezekikn saya utk berjumpa ustazah, amin ya robbal alamin","3","63"
"seronoknya dengar ceramah ustazah......terima kasih ustazah...","1","62"
"ustazaha de share doa utk hijrah dlm video ini ke?","0","50"
"assalamualaikum... ustazah.. subhanallah maha suci allah..sy dgr ustazah baca al quran terasa tenang sesuatu yg rasa x gambar kn.. masyaallah tabarakallah alhamdulillah terima kasih ya allah","4","190"
"alhamdulilah. moga allah memberi kesihatan dan keimanan yang terbaik untuk puan dan keluarga. amin","0","98"
"assalamualaikum ustazah, semoga ustazah sentiasa dlm rahmat allah n dpt menyebar ilmu ke seluruh alam buat insan2 yg dahaga kn ilmu terkami kami yg jahil ini.....ceramah ustazah sllu tdk mngecewakn bahkn mnghidup kn hati2 kami yg kering ini n bisa mengalirkn airmata keinsafan atas dosa2 kami yg sllu kami ulang tp taubat nya tdk....semoga allah beri taufik hidayah kpd kami smo, insyaallah amin","0","395"
"yeehhh... admin.....gimana nih critanya katanya video terbaru thn 2025 gak taunya dari tahun 2024 ya gak papa deh yaa krna telah menyebarkan kebaikan insya allah menjadi amal jariyah bagi yg mendengarkan dn mengamalkannya.. aamiin","9","230"
"mashaa allaah..taabaarookaallah..semoga tuan guru dan keluarga semuanya sehat wal'afiat","20","87"
"setiap zaman selalu ada ustadz yg hebat... prof buya hamka..ustadzah zakiah darajat...yg sekarang ya ini..uas","4","109"
"assalamualaikum gk terasa dengerin ceramah uas sambil ngerjain kerjaan rmh,, gk terasa beres,, sehat2 bwt ustad abdul somad","11","123"
"alhamdulillah selalu hadir menyimak kajian uas dari payakumbuh","4","62"
"saya dari losarang indramayu jabar saya senang lihat ceramah pak ustad moga2 pak ustad sehat2 selalu panjang umur amiiiin","1","121"
"allahuma shali ala shayidhina muhammad waala ali shayiidina muhammad. sehat sll panjang umur uas semua keluarga istikomah dlm iman dan islam sukses dunia akhirat aamiin ya rabbal alamiin","1","186"
"semoga ustad sehat selalu semoga umat. islam ada yg membimbing amin","4","67"
"selamat pagi saudara saudari terkasih dalam nama allah bapa di surga sehat sekeluarga selalu amin","0","97"
"ceramah ustadz jadikan pengingat bagi ummat islam, mana yang belum di laksanakan , sebagai penasehat , jaga iman iyah, jangan mau pengikut setan","0","144"
"asalamualaikum ustat sangat mengispirasi sekali ceramahnya","3","58"
"assalamualaikum ustadz smoga shat sllu dn pnjg umur.. ceramah2 nya ustadz bkin tenang di hati.. dn menambah ilmu nya dari ustadz amin","5","133"
"dan tausiah guruu semngking buat hti hmba smngkit membaik semoga ajaran guruu selaluu dkt dlm hti kmii amiin amiin yaa allah semuanya para walii allah untaz dn buyaa seglnya dpt buat hti kmiiselaluu istikomah dn smngkin bnyk blajar lgi kmui amiin yaa allah","0","256"
"dariada,mukah,sarawak,malaysia sukabanget,dengar,ceramah","2","56"
"saya paling suka dengarin ceramah supaya kita tahu .ilmu tentang agama kitaharus mengetahui tentang agama .supaya .hakidah kita bertambah kuat .kalau kita lengah .maka mudah setan masuk samakita kita harus dibentengi nya supaya kita tahu tentang dosa mudahan mudahan bertambah keimanankita amin amin","1","299"
"assalamualaikum warahmatullahi wabarakatuh. ikut nyimak ustadz","6","62"
"assalamu'alaikum warahmatullahi wabarakatuh semoga allah kabulkan doa ustaz pd hamba allah, dr kota singkawang kalbar, amien yra","1","128"
"subhanallah subhanallah subhanallah,, semoga sehat selalu ya,tuan guru km ustad,, aamiin ya allah ya robba alamiin","1","114"
"assalamualaikum warihmatullahi wabarokatu tuan guruu semoga dirahmati allah sgala ajaran tuan guruu buat hti hmbaa jdi taat selaluu semoga allah jdikan kita semua kaum muslimin muslimat nnti bersama tuaan guruu disurgaa firdauss didunia selamat dn diahkraat kelak amiin amiin yaa allah amiin yaarobbi alamiin","0","308"
"saya ahlussunah waljamah berpegang teguh pada al-qur'an dan hadits kias ulama 4 mashab,sehat selalu guruku uas","9","110"
"alhamdulillah.... subhanallah....sehat selalu ustadku","2","53"
"ya allah semoga di angkat penyakit nya ruben onsu,,dgn ijin mu ya allah smg cepat sembuh ruben onsu aamiin","1","106"
"alhamdulillah...sejuk hati, tebang pikiran.. semoga ustadz abdul somad beserta timnya selalu sehat dan kuat tetap semangat memberikan pencerahan dalam siraman agama islam","3","170"
"ha ha ha...baru lihat tuan guru melucu pula... tapi jangan kebanyakan lucu nya ya ustadz..takut sakral nya hilang... sehat selalu tuan guru dan keluarga","2","152"
"assalamualaikum pak ustadz.ustads oren orang minang tepat nya di paninggahan.beliau kakak satu suku sama saya","0","109"
"kapan ke manado prof uas insya allah disegerakan oleh sang khalik, ingin berdua dengan beliau","0","93"
"uas untung ada abdus somad guru nya rakyat indonesia yg mudah di pahami di mengerti bagi ummat islam semua","12","106"
"assalamu'alaikum wr wb.. saya dari kota malang.. suka banget mendengar ceramah h uas.. hati gundah jadi hilang.. sehat selalu abah, semoga alloh swt melindungi","48","159"
"saya senang banget liat pak ustad aus kalau ceramah selalu bikin jemaat nya bahagia semoga pak ustad nya juga bahagia dunia akhirat beserta keluarganya aamiinnn 3x ya allah yrb alamiinn","9","185"
"uas...subhanallah...allah huakbar...salam dari jogja,","0","53"
"bismillah.asalamualikum.masayaallah.pak.ustad.abdulsomad.ceramah.nya.begitu.hebat.amin","0","86"
"mohon ma,ap ,ini kamera mn bagai mana ko pak ustadz yng d sorot belakang nya,","0","77"
"kalau nonton ceramah ustadz abdul somat..hilang semua gundah gulana","22","67"
"semoga tuan guru ustadz abdul somad dan keluarga serta para ulama yang lurus lainnya dan seluruh kaum muslimin muslimat solihin solihat dimanapun berada semoga selalu sehat panjang umur dan selalu dalam lindungan allah swt.aamiin","13","229"
"uas era jokowi diadu domba dg ormas besar islam. karena seorang uas pengaruhnya luas","0","84"
"yaallah panjangkan umur ustad kami ustadz abdul somad.. agar sllu mmbing kami di dunia aamiin","23","93"
"yaa allaah pk ustadz abdusshomad mudah""an selalu d lindungi olih allaah swt","2","75"
"assalaamualaikum wr wb ikutnyimak tuan guru kh prof ustadz abdolsomad lc ma sehat selalu dilindungi allah swt selalu istiqomah aamiiiiinn","26","137"
"makasih pak ustadz somat..,ke salahan satu persatu terukap .. tentang orang yang salah itu..., karena dia sudah merasa jadi orang yang pintar... amin ya rabbal alamin ya allah","1","175"
"assalamualaikum ustadz somad idolaku dr dulu,klau ada ceramahnya sering aq mengikuti klau engk sibuk...sampai dlm hati ada keinginan memanggil didesa kami,tapi dana aq kurang.. makanya kanggoang lihat di youtube...sehat sll ya ustad dan panjang umur, aamiin ya rabbal alamin","10","274"
"semoga uas sekeluwarga dan kita semua dalam lindungan allah subhanahuwata'ala di mana pun kita berada amin amin amin iarabbal alamiiiiinnnn..","1","141"
"assalamualaikum warahmatullahi wabarakatuh semoga sehat selalu pa ustadz,, dan selalu dalam lindungan allah swt tabarakallah wa'alaikum","2","135"
"ini nyata reziim yang tidak memuliakan ulama pasti dia akan sirna satu persatu masalah akan terungkap mudah2 an pak prabowo selalu memuliakan ulama kita maka dia akan selalu dijaga oleh allah swt.. amin","0","202"
"allah humasholi allah saydinamuhammad,mudah mudahan uas sehat selalu amin","0","73"
"assalamu'alaikum ustadz smoga uas sht sllu pnjang umur","0","54"
"kobiltu alm kiyaihaji zaenudin mz semoga amal ibadahnya diterima di sisi allah swt","84","82"
"subhanallah walhandulliah walaillahaillah allahuakbar","2","53"
"paling suka ceramah ki zainudin mz semoga husnul khatimah","1","57"
"kalau dengar ceramah ustad zainudin mz teringat nunggu buka puasa waktu kecil","5","77"
"semoga almarhum kh. zaenudin mz mndpatakan aliran pahala dr kita yg selalu mendengarkan dan mngamal kan smua isi ceramah sejuta umat nya, dr zaman sd smpe umur 35 tahun masih setia mendengarkan","4","193"
"sy dari kecil umur 8 tahun tahun 73 saya lahir sampe sekarang sdh umur 53 apa 52 ya..sdh tua hehe..masih selalu dengerin ceramahnya..smg alloh ampuni dosa dosanya pak yai. bahagya di surga pak yai...trmksh..dn semuga keluarganya sllu di beri keberkahan dlm hidupnya...amiiin amiiin amiiin yaroballalamiiin..","1","307"
"bismilah hiroman hirohim walikumumsalm warohmatuloh hiwabarokatuh santun pagi ya pak kayi sainudin ingsya allah","1","111"
"idola sy ketika menunggu berbuka uasa slalu dengerin ceramah beliau. alfatiha utk alm haji zaenudin mz","12","102"
"ceramahnya udah bagus, tapi kenapa perlu dimasukkan suara org ketawa yg dibikin2 itu.","1","85"
"membantu pembangunan asrama santri penghafal qur'an, ma'had az-zahra. mudah mudahan sedekah yg diberikan menjadi tabungan akhirat untuk bapak bunda klik link >> http://sidaq.id/uas?ref=gnao6","218","190"
"assalamualaikum ustadz maaf saya curhat di sini ,sebab saya tak tahu bagaimana berbicara langsung oleh pak ustadz kecuali dari media ini ,semoga tersampaikan ,nama saya hermansyah dari kota tangerang banten,. ustadz tolong sempatkan waktu untuk menjelaskan apa si yang ada di pikiran saya ,saya pemabuk sempat menjadi pecandu narkoba, pembohong dan banyak lagi dosa2 yg saya lakukan ,maaf saya mengumbar2 dosa ,. maksud saya apa ustadz tau maksud ini ,ketika saya mendengarkan seseorang mengaji atau mendengar adzan ,terkadang tanpa sengaja air mata saya menetes seolah2 saya rindu akan sesuatu ,karna orang tua mengajarkan saya untuk selalu minta tolong ke sang pencipta padahal saya tak rajin beribadah ,rasa malu pasti selalu ada saat saya meminta pertolonga ,rasanya saya rindu pada allah padahal saya gak tau bentuk rupanya ,dan sempat saya pernah berkata dalam hati,"" saya gak mau denger atau tau kisah nabi muhammad ,karna setiap kali saya membaca atau mendengarkan kisah rasullullah pastilah rasa malu dan sakit hati saya gak sanggup menahan seolah2 saya jauh dengan seseorang dan sulit untuk bertemu sampai sesak nafas merasakannhal itu apa itu yg di maksud rindu rasulullah ,tetapi saya orang berdosa dan mengapa perasaan itu hadir . terimakasih.","25","1256"
"assalamualaikum ustad.. semoga ustad selaluh di sehatkan oleh allah swt. sya anak muda 19 tahun.. sya mimpi antum di malm hari... dan sya ingin mimpi itu jadi kenyataan... doakan sya ustad . semoga bisa berjumpa dgn antum. dan doakan sya semoga cita2 sya tercapai.. ustad... maaf klo ada kata2 yang slah...","14","306"
"assalamualaikum warahmatullahi wabarakatuh pak ustadz abdul somad","19","65"
"bismillah ya allah semoga anak anaku menjadi anak anak yang sholeh amin","12","71"
"masyaallah tabarokalloh.. barokallohu fiik pak ustadz","1","53"
"assalamualaikum..pak ustadz semoga allah swt memberikan umur yang berkah","20","72"
"alhamdulillah.... subhanallah.... allahu akbar....","4","50"
"masyaallah ustadz, setelah mendengar ceramah ini hati saya langsung meleleh, baru sadar sekarang, ya allah maafin aku yg kurang bersyukur ini. saya sangat senang mendengarkan ceramah dari ustadz abdul somad","46","206"
"sehat selalu paustad dalam keadaan lindungan allah swt amin ya rabbal alam min","9","78"
"assalamu'alaikum pa ustadz.. alhamdulihlah pa ustadz kami bersyukur pada allah msh di beri kesempatan untuk dengar tausiah pa ustadz smg pa ustadz di panjangkan umur suya trs bisa ceramah dn aku pun msh bsa dengar cemahnya walaupun cuma lewat alat ini .dn smg alat ini akan jadi saksi kebaikan di hdpan allah aaamiiiin","7","318"
"assalamualaikum...maaf klo z bri solusi agar anda mau mendengar atau membaca kisah nabi.ada asap pasti ada api dan ada surga pasti juga ada neraka.coba kita hayalkn neraka t dan rasakan azabxa apa kita sanggup menahan perihxa?.api rokok sj kita uda g sanggup.semoga solusi ni bisa membuat kita hijrah dan mau membaca kisah rasul.amin.","0","334"
"allahimma shsllii a la muhammad,wa alaa aalii sayyidina muhammade'.","1","67"
"asalamualikum ustad semoga ustad sehat selau ,biar saya bisa mendengar ceramah ustad ,ustad saya minta doanya semoga anak saya jadi anak anak yang soleh ,istikomah dalam ibadah ,amin.","9","183"
"doakan kaami ustadz anak kami bercita2 berkuliayah di maroko semoga di mudah kan segala cita2 anak kami .sekarang lagi mau ikut tes semoga lulus","26","144"
"assalamualaikum warahmatullahi wabarakaaatuh shallallahu 'alaa muhamnad","0","71"
"assalamuakaikum pak ustad abd somad sy suka nenyimak ceramah ustad toloong doakn sy bs beribadah ke tanah suci kalo sy blm mampu ibadah haji tolong doakn sy bs beribadah umroh","8","175"
"ustaz, sayyidina muhammad, hebat, bijak,. dan pahlawan islam. s.a.w.","5","68"
"ya allah sembuh kan lh penyakit hamba mu ini ya allah aamin","0","59"
"ilmunya sangat bermanfaat ustadz terimakasih guru kami","21","54"
"masyaallah ,,luar biasa ilmu ny trima ksh,tetap sehat tetap semangat","11","68"
"terima kasih ustad somad hati hambasdh tenag setelah mandangar ustsdceramah","4","75"
"masya allah, sehat terus ust. abdul somad. semoga allah berikan umur yang berkah. aamiin...","14","91"
"allahhu akbar kabir, terimakasih ustadz atas tausiyah nya","0","57"
"assalaamualaikum warahmatullahi wabarakaatuh,semoga tuan guru sekeluarga dilindungi allah.","9","90"
"bismillahirrohmanirrohiim allahumma sholli ala sayyidina muhammad wa ala ali sayyidina muhammad . yimak ustadz","0","110"
"alla..hummah soleh alla..muhammad.. walikum salam.. pa ustad.. hdir wong jawa..lurr..asalamualkum.. smiga kita semua sllh di sht kn trus..bdanya krnh gusti allah..dan sellh dlam lindungn nya juga di mna pun berda dan ke mana pun prgi dlm prjlnanya..alfateha...asalamualkum..lurrrr lurr lurrr","1","291"
"waalaikum salam warahmatullah wabaraqatuh bismilllah alhamdulillah allah huma soli ala sayyidina muhammad wa ala ali sayyidina muhammad saw jazakumullahkhaeran zaza hafizkumullah almuqarom tuan guru pak ustadz abdul somad semoga allah subhanawatalla jaga pelihara dipanjangkan umurnya diberi kesehatan walafiah kekuatan istikhomah dipermudah segala urusannya dunia akhirat nya til janah rumah tangganya aamiin yarobbalalamiin","1","425"
"allahumma sholli ala sayyidina muhammad wa ala sayyidina muhammad.","9","66"
"jadikan iya di muliakan allah subhanawata'ala di dunia dan di akhirat aamiin","1","76"
"alhamdulillah,,. allahumma shalli ala sayyidina muhammad wa ala ali sayyidina muhammad,,. semoga allah swt melimpah kan rahmatnya buat pak uas dan dalam lindungan allah,,. aamiin aamiin,,. allahu akbar,,,,,..","18","208"
"ya allah semoga dengan mendengarkan ceramah dari ustad somad hati tenang pikiran tenang dan terus berada dijalan allah swt amiin","3","128"
"masyaallah, tabarakallah, allahu akbar..! bismillahirrahmanirrahim, allahumma inna nas'aluka istiqamah.","0","103"
"allahu akbar seperti bayi baru lahir bersih tanpa dosa","0","54"
"masyaallah, jika memang benar semoga isqomah di jalan allah azza wajal","5","70"
"semoga kita d lindungi oleh allah subhanallah ta'ala..","3","54"
"masa allah denger ceramah ustad uas seneng banget semoga sht sellalu aaminnn...ceramah nya mudah2 han jadi hidayah aaminnn","3","122"
"amin ya allah setelah ucapan nabi hamba allah lengah mksih ustad smonga kita mulim di berikan kesehatan dan iklas","0","113"
"allahuma sollii alla sayyidina muhammad shalallahu alaihi wasallam...","23","69"
"bismillahi rahmani rahim ya allahu swt sehatkanlah berkatilah sllu guru ku para ulama ta semua nya di dunia sampai di akhirat ta amin ..... alhamdulillaahi rabbil alaminnn .... inshaallah","1","187"
"alhamdulillah hra terima kasih atas ilmunya, pak ustadz. semoga ustadz sehat selalu dan selamanya. dan semoga allah swt, memanggil ustadz dan kita semua dalam husnul khatimah. aamiin yra salam hormat untuk ustadzah ufah.","5","220"
"smoke anak ku menjadi anak penghafal al-qur'an aamiin ya allah","0","62"
"alhdulillah....ustad kiranya kapan ceramah di bekasi ....saya akan hadir","0","72"
"assalamualaikum warahmatullahi wabarakatuhuh. zikir harian 1. subhanallah 2. alhamdulillah 3. la illaha il allah 4. allahu akbar","6","128"
"masa, allah ustaz addul somad mudah 2 an sht sllalu meni tenang pengarahan 2","1","76"
"ustadz abdul somad memang oke, is the best, salut wa'alaikumsalam warahmatullahi wabarakatuh","3","92"
"semoga tuan guru uas selalu dalam keadaan sehat wal afiat serta tetap dalam lindungan allah swt amiiiiin amiiiin ya rabbal alamiiin","9","131"
"assalamualaikum allahumma sholli ala sayyidina muhammad, wa ala ali syaidina muhammadin wa ahli baitihi jangan lupa sholawat","19","124"
"alhamdulillah masih mendengar ceramah pak ustat abdul somat ni semoga sehat selalu ya amin yawloh","4","97"
"assalamualaikum, deli serdang menyimak, semoga uas selalu sehat dan dalam lindungan allah swt aamiin allahuma aamiin","18","116"
"subhannallah semoga allah menguat kan iman kita aamiin","0","54"
"sssalamu'alaokum wr wb smoga disehatkan badanya was.oleh allah. allahuakbar hadir myimak dr tangerang.","7","102"
"alhamdulillah slalu bsa nyimak tausyiah tuan guru smga tuan guru dimudahkan sgala urusannya dlm berdakwah shat trus tuan guru jordan hadir","7","138"
"bismillah... semoga kedua anak lelaki ku bisa mengikuti jejak ustadz abdul somad. aamiin allahumma aamiin","16","105"
"ya allah, berkahi, redhai, dan lindungi serta kurniakn kesehatan, panjang umur serta dimurahkn rezki. amin","2","106"
"masyaallah tabarakallah sehat terus buat tuan guruuas aamiin","13","60"
"moga allah selalu berikan kami ilmu yg manfaat,aamin","0","52"
"alhamdulillah sehat selalu ustadz abdul somad.. aamiin","4","54"
"alhmdlh paling seneng dengerin ceramah uas sambil msk/nyetrika adem rasanya","0","75"
"wa'alaikumussallam warahmatullahi wabarakatuh alhamdulillah mkzh bnyk tausiyahny sngt bermanfaat se x smga tuan gru uas dlm lindungan allah subhanahu wata'alla aamiin...","5","169"
"semoga kita semua selalu dalam lindungan allah swt amin","1","55"
"sangat.bangus.pak somad.agar manusia sadar kepeciptanya.selalu istikomah.danselalu bersyukur atas pemberitaan allah.amin amin.","0","126"
"semoga sehat dan selalu dalam lindungan allah buat ustadz somad sekeluarga","10","74"
"semoga kita selalu diberikan kesehatan keikhlasan oleh allah swt aamiin ya allah","0","80"
"ya allah semoga anak lelaki q dapat istri yang sholehah yg pandai baca al quran dan sayang pd anak lelaki q.","8","108"
"assalamualaikum ustadz ma sha allah jauh jauh sekali cikarang ustadz sehat selalu","1","81"
"sehat selalu ustadz uas, panjang umur.aamiin ya rob","4","51"
"saya sangat kagum dengan ceramah ustd somad.kapan ustd somad bisa ceramah ke kmp. saya kadugenep.kec petir.serang banten.","9","121"
"bismillah, alhamdulillah, assalamu 'alaikum warahmatullahi wabarakatuh ustad abdul somad, barakallah fiik ustad, jazakallah khairan jaza","18","136"
"masya aallah tabarokkallah makasih ilmunya tuan guru uas","19","56"
"ya allah semoga aku dan keluargaku semua menjadi hamba ya pandai bersyukur pada mu ya allah... aamiin","1","101"
"alloh huma solli alla saidina muhammad waalla ali saidina muhammad, sehat selalu buat ustadz abdul somad","0","104"
"adalamualikum wr wb minta doanya buat semuanya semoga saya anda dan kita semua di angkat derajat nya sama allah swt amiin yrbalamin","12","131"
"makasih ustadz abdul somad , ustadz membantu saya untuk mengisi buku catatan bulan ramadan","2","90"
"masya allah tbrk semoga tuan guru sehat sll dan ad dlm lindungan allah swt.....","4","79"
"alhamdulillah, tabarakallah, salam dari , semoga kitani semua selalu bersyukur, aamiin ya robbal alamiin","2","104"
"aq sll bersyukur kpd allah atas nikmat ny solat 2 per 3 mlm.yg sll istiqomah ku lakukan karna allah .","10","101"
"assalammualaikum wr wb barakalloh fikum pak ustadz abdul somad lcma brsm keluarga dan team nya jg semua sahabat jama'ah yang menyimak smg kita semua sll sehat walafiat dlm lindungan dan rahmat alloh swt","17","202"
"assalamu'alaikum ustadz saya budi sallam seduluran dari kisaran khusus nya dari silau laut tukat mandah.","0","104"
"sehat selalu ustadz abdul somad ,berkah rahmat dan ampunan selalu di berikan oleh allah swt","7","91"
"allahuakbar..mdh2an ustadz kita ini dilindungi oleh allah swt..aamiin ...coba kameramenya dinmpknya juga para jama'ahnya..ramainya jama'ah biar nmpk juga...","0","156"
"semoga ustat sehat selalu,, dan diberikan allah umur yang panjang,, aamiin ya rabbal alamin,, semangat ustadz,,","11","111"
"semoga ustadz sehat selalu tabah berkah ilmu nya dan puta putri ku jadi anak yg soleh dan solehah","0","97"
"masya allah tuan guru,,, semoga engkau sehat selalu aamiin","7","58"
"assalamu'alaikum warohmatullohi ta'alaa wabarokatuh masa'allah tabarakallah ustad,jazakallah atas ceramahnya","0","108"
"ya allah semoga hamba diberi jodoh baik hati nya, bagus akhlak nya, pintar agama nya. aamiin","17","92"
"semoga ustadz abdul somad sehat selalu, panjang umur dan berkah dalam setiap langkah.","0","85"
"semoga slalu di lindungi allah swt aamiin slmt dunia aherat","4","59"
"bismillahirrohmanirrohim ya allah lindungilah beliau beserta jamaah jamaah berikan beliau kesehatan aamiin aamiin ya robbal alamiin .","8","133"
"alhamdulillah ya allah bisa denger ceramah beliau... menggugah dan mencerahkan hati,. sehat berkah selalu uas,. semoga allah swt senantiasa menjaga dan melindungimu,,, aamiin","5","174"
"masya allah., terima kasih gurunda ustadz abdul somad semoga kita termasuk ke dalam golongan orang orang yang bersukur semoga diberi kesempatan berjumpa langsung dengan gurunda ustadz abdul somad izin gurunda saya kutip satu menit untuk shorts di chanel udomemey","25","262"
"assalamu'alaikum warohmatullohi wabarokatuh masyaallah tabarakallah banjarmasin sll setia menyimak prof dr ustadz h abdul somad lc ma smg senantiasa dlm lindungan allah swt aamiin aamiin yaa robbal'aalamiin","5","206"
"masyaalloh tabarokalloh allahuakbar sehat selalu beserta keluarga tuan guru kami amin amin ya rabbal alamin","2","107"
"sehat terus ustad somad semoga sll dalam lindungan allah...ustad mohon doa nya agar keluarga sy selalu istiqoma dlm menjalan kan perintah allah dan rasulnya.dan menjauhkan kami dr semuay yang dilarangnya...aamiin","6","212"
"banyak belajar dari ustadz.masyaallah terimakasih atas ilmunya","0","62"
"terima kasih uas , banyak ilmu agama islam yg kudapat .. jazakallah khoiron katsiron ..","5","87"
"allahummaghfirli waliwalidayya warhamhumma kama robbayani shoghiro","0","66"
"alhmdulillah, ceramah ustadz di masjid nuruzzaman unair kampus b surabaya dah terupload. ini ceramah yang sangat menyentuh, :)","12","126"
"ya allah...saya mohon hidayahmu dengan kerendahan hati berilah hidayah ibuku untuk sholat....","0","93"
"subhanallah.... alhamdulillah ya allah yg tlh mngirimkn insan untk sllu mnjg kmi dr smua larang2 agam.. jazakulu kher ustad allah hu barikfik","13","141"
"ya allah kuat hambamu in yg penuh dosa.. alhamdulillah org tua hamba meningal dgan iman islam .","0","95"
"subhanalloh smg allah mengampuni dosa""ku dn dosa kedua ortu q dn temptkan kedua ortu q di sisi orng""engkau cintai aamiin","10","120"
"allahhumma sholli alla sahidina muhammad waalla alihi sayidina muhammad","0","71"
"aamiin ..yaa allah ..ampunilh dosa dosa ibu dn ayah keluarga kmi ..terimakasih beliau ..atas tausyah ..aamiin yaa robbal alamiin","9","128"
"bismillahhirohmanirrohiim robbighfirli waliwalidayya warhamhumma kamma robbayani shoghiroh aamiin aamiin aamiin ya mujibbassailin ya allah ya robbal aalaamiin","0","158"
"ya allah sekarang aku cuma ibu,bapak dah ngak ada maafkan anak2 mu","12","66"
"alhamdulillah yaallah antum setiap hri nonton youtube beliau smg selalu sehat njeh ustad","6","88"
"ya allah....ampunilah dosa"" hamba terhdp ke2 orang tua.... ampunilah dosa"" mereka ya allah","1","90"
"ya allah masuk kan lah umat muslim muslimat seluruh alam semesta ini masuk surga mu ya allah ya robb aamiiin ya rabbal aallamiin","5","128"
"masya allah. syukron ustadz. ana lagi kangen sama almarhum ibu. ya allah semoga ibu hamba di di tempatkan di surga mu. aamiin","9","125"
"ya allah semoga anak2 jdkan mereka anak2 yg sholeh","7","50"
"allohummagfirli waliwalidaya warhamhuma kama robayanisoghiroh...... do'akn ustadz smga orang tua diampuni smua dosanya, dberkahkn sisa umurnya....amin","0","150"
"ya allah aku jadi sedih makasih ya pak ustad :-) :-) :-) :-) :-) :-) :-) :-) :-)","11","80"
"ya allah a apunnilah dosa dosa orang tua kami sengaja yang tida sengaja kami selalu berdoa buat yang keluarnga kami semonga diterima di sisi allah amiiinnn","0","155"
"masyaa allah sangat menyentuh hati sedih kali... jazaakallah khoyr ustadz kajian nya sangat bagus semoga allah beri kesehatan kepada ustadz syafiq aamiin allohumma aamiin","10","170"
"ma syaa allah tadz, jazakallah khairan tadz. kajiannya berhasil bikin saya sesenggukan :'(","20","90"
"ma sya allah... yaa allah..terima dn muliakan lah kedatangan kedua orangtua ku..ampuni dn jauhkan mereka dari adzab mu dn siksaa api neraka..lapangkanlah liang kuburnya dn masukkan lah kedua nya ke dlm surga mu beserta orang2 yg soleh..aamiin... semoga allah swt mengabulkan semua do'a2 kita aamiin yaa robbal'aalamiin...","7","321"
"masya allah sangat menyentuh hati ustadz syafiq semoga sehat selalu amin","28","72"
"ya allah aku tidak bisa membendung air mata ku mendengar ceramah ustad dr syafig salama ya allah ku mohon ampuni lah dosa dosa ke dua org tua ku amiiin","0","151"
"jazakallahu khair ustadz, semoga allah panjangkan umur ustadz serta sehat wal afiat selalu, amin. tausiah ustadz sangat bermanfaat.","9","131"
"ya allah berikanlah ustadz kesehatan jasmani dan rohani aamiiin ya rabbal aallamiin terima lah iya di surga mu ya allah ya robb aamiiin ya rabbal aallamiin","1","155"
"ya allah semoga ak bs berbakti kpd kedua orang tua ku","6","53"
"semoga orang2 yg aku cintai sehat slalu. dan untuk orang tuaku semoga di tempatkan dengan orang2 yg beriman. di ampuni segala dosa2nya","3","134"
"yaallah ampunilah segala dosa2x kedua orang tuaku yang di sengaja maupun yang tak disengaja berilah syurga kepada orang tuaku dan kumpulkan hamba semuanya do syurga kelaknantinya aamiin yaallah","0","193"
"ya allah ,,,,,ibu,,,,, ayah,,, aq kangen kalian,,,,","3","51"
"ya allah yang memberikan dis like semoga allah memberinya hidayah","10","65"
"ya allah ampunilah dosaku ,dan kedua orang tuaku dan suamiku tempatkalah ditaman sorgamu","0","88"
"ya allah ampunilah segala dosa2 orangtua kami ya allah dan tempatkanlah dia di dalam surgamu ya allah","5","101"
"ya allah semoga ibu bapak hamba selalu dalam lindungan mu ya allah","4","66"
"astaghfirullah aladzim astaghfirullah aladzim astaghfirullah aladzim robigfirli ya allah ampunilah aku","0","102"
"ya allah yg dengerin tausiah ini bikin hati adem,smoga pk ustad di lindungi allah swt, amin,,,","5","94"
"assalamualaikum alhamdulillah masya allah tabarakallah barakallahu fikum jazakumullaahu khairan syukron ustadz dan semua yang terlibat sehingga tersebarnya dakwah ini","4","166"
"maa syaa allah apapun topik kajian nya ustadz,, alhamdulillaah ana ga pernah bosan2nya dengar curahan ilmu beliau hafizhahullah.. ilmu2 nya sgt bermanfaat utk dunia wa akhirat .. allahu akbar.. sht2 sllu ustdz & kelg .. syukron wa 'afwan ..","3","240"
